stage,track,dataset,config_tag,confirm_theta,confirm_window,confirm_cooldown,monitor_preset,n_runs,acc_final_mean,acc_final_std,acc_min_mean,acc_min_std,MTFA_win_mean,MTR_win_mean,miss_tol500_mean,MDR_tol500_mean,conf_p50,conf_p90,conf_p99,group,miss_tol500_std,conf_P90_mean,conf_P90_std,MTFA_win_std,use_severity_v2,severity_gate,severity_gate_min_streak,model_variant,post_mean@W1000_mean,post_mean@W1000_std,post_min@W1000_mean,post_min@W1000_std,recovery_time_to_pre90_mean,recovery_time_to_pre90_std
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w1_cd0,0.5,1,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.87558,0.008447875472567097,0.5239583333333333,0.1904641283848192,341.02593976557756,2.3571429204646206,0.0,0.0,199.0,287.0,299.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w1_cd1000,0.5,1,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.879392,0.007873456674167972,0.478125,0.14929848981989066,1392.4840336134455,2.2648884161945313,0.75,0.75,559.0,1024.6000000000001,1181.56,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w1_cd200,0.5,1,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.879016,0.0049129909423893834,0.5703125,0.09631896879639025,340.4286332539629,2.5580289220497785,0.0,0.0,167.0,256.6,283.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w1_cd500,0.5,1,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.868412,0.014090838158179261,0.45,0.2235521995809927,689.487323943662,1.8540278698451238,0.4,0.4,343.0,643.8000000000001,687.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w2_cd0,0.5,2,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.873852,0.006872795646605553,0.4479166666666667,0.14367827316805962,341.05821961611184,1.811807617666487,0.0,0.0,191.0,288.6,354.8399999999999,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w2_cd1000,0.5,2,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.867044,0.007533344542764502,0.6283854166666667,0.08985129799211615,1403.2457142857143,2.33104131953691,0.5,0.5,511.0,1122.2,1202.84,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w2_cd200,0.5,2,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.87896,0.00970854263007583,0.4979166666666667,0.11420391728054789,344.9121555197531,1.967940604705797,0.0,0.0,199.0,258.20000000000005,351.7999999999999,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w2_cd500,0.5,2,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.869908,0.003403016309099931,0.5875,0.1069548718762056,689.0078134560789,2.468598124315321,0.2,0.2,239.0,559.0,571.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w3_cd0,0.5,3,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.873844,0.01077194875591228,0.5541666666666667,0.13204948304413094,343.7679388711667,1.888084909315902,0.0,0.0,199.0,288.6,303.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w3_cd1000,0.5,3,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.878752,0.008922752938415383,0.5479166666666667,0.16063297105167698,1387.5301587301587,3.6587629288893657,0.35,0.35,367.0,1095.0000000000002,1283.6399999999999,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w3_cd200,0.5,3,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.877144,0.010326958894079148,0.44895833333333335,0.16189457196137105,342.32465275439483,1.9452297390105653,0.0,0.0,207.0,303.0,354.8399999999999,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.50_w3_cd500,0.5,3,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.871336,0.007172424973466072,0.5572916666666666,0.09006050242599263,692.8753623188406,2.059247056772925,0.35,0.35,279.0,623.0,635.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w1_cd0,0.6,1,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.854696,0.004113037806779817,0.4015625,0.14079850407586011,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w1_cd1000,0.6,1,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.852412,0.006320895506176316,0.5541666666666667,0.14525555186367997,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w1_cd200,0.6,1,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.845132,0.0036107229193057524,0.616375612745098,0.07393605800171633,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w1_cd500,0.6,1,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.8555,0.007596907265460073,0.4291666666666667,0.16591627950733334,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w2_cd0,0.6,2,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.8507399999999999,0.0025176179217664967,0.3609375,0.1436735530421309,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w2_cd1000,0.6,2,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.855048,0.009384738675104375,0.4953125,0.13391089913166143,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w2_cd200,0.6,2,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.845704,0.007225183734687982,0.5458333333333333,0.10790178468815466,,,0.95,0.95,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w2_cd500,0.6,2,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.8541880000000001,0.008488870360654571,0.5401041666666667,0.1648830340894889,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w3_cd0,0.6,3,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.8505360000000001,0.003243837233894452,0.4546875,0.13445673386353693,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w3_cd1000,0.6,3,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.850696,0.008234639032768831,0.4708333333333333,0.2055923199925779,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w3_cd200,0.6,3,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.851864,0.011606682557906057,0.5302849264705882,0.19409822036990015,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.60_w3_cd500,0.6,3,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.850308,0.009222869401655842,0.43671875,0.2345767360954353,,,1.0,1.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,0,,5,0.8776,0.005477572455020573,0.6175,0.12230914483276475,341.3888340892799,,0.0,,,,,baseline,0.0,251.48000000000002,61.50538187833648,6.345498768433419,0,none,1,ts_drift_adapt,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,200,,5,0.873332,0.005510147003483635,0.4625,0.13693063937629152,339.4062423079766,,0.0,,,,,cooldown,0.0,271.32000000000005,19.803838011860226,1.9872772681492494,0,none,1,ts_drift_adapt,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,0,,5,0.880068,0.010984148578747473,0.521875,0.15726234550107665,345.66285692400004,,0.0,,,,,v2,0.0,279.96,36.30272717028296,12.806106335001207,1,none,1,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,0,,5,0.880008,0.001360264680126646,0.4625,0.213839984714038,341.7755969161489,,0.0,,,,,v2_gate_m1,0.0,220.76000000000002,79.34612781982497,4.385215635913371,1,confirmed_streak,1,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,200,,5,0.874852,0.007895537980403844,0.5283854166666667,0.20655244685781718,341.0615359478846,,0.0,,,,,v2_gate_m1_cd,0.0,242.84,63.23138461239007,3.749963722268938,1,confirmed_streak,1,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,0,,5,0.874864,0.005912874089645433,0.43125,0.11407320155277487,340.5013619808802,,0.0,,,,,v2_gate_m3,0.0,264.6,31.39426699255772,4.259639842694154,1,confirmed_streak,3,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,200,,5,0.87308,0.003441627521972685,0.5015625,0.1389219795649702,339.97867754106704,,0.0,,,,,v2_gate_m3_cd,0.0,244.76000000000002,63.85583763447161,5.916155477863995,1,confirmed_streak,3,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,0,,5,0.879644,0.006416952547744168,0.5036458333333333,0.13772078234198673,342.29976071000704,,0.0,,,,,v2_gate_m5,0.0,247.32000000000002,34.731426691110734,2.912742122922535,1,confirmed_streak,5,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,sea_abrupt4,,0.5,1,200,,5,0.869292,0.005588928340925485,0.3734375,0.16814126315393257,343.52691925612095,,0.0,,,,,v2_gate_m5_cd,0.0,288.6,37.65952734700743,6.907672238666261,1,confirmed_streak,5,ts_drift_adapt_severity,,,,,,
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,0,,10,0.19845591991976838,0.007793251701784942,0.1244523971273292,0.03582694489056419,,,,,,,,baseline,,,,,0,none,1,ts_drift_adapt,0.18925718462362098,0.00791241505077931,0.18850088127827822,0.008002858389502154,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,200,,10,0.1993452797699018,0.008693793711727163,0.15327833850931677,0.009941121311065924,,,,,,,,cooldown,,,,,0,none,1,ts_drift_adapt,0.19026136729128965,0.005607640597438442,0.1893752313207661,0.0055669277648811655,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,0,,10,0.20085151475012772,0.00886364416527251,0.1495116783126294,0.02165651952429203,,,,,,,,v2,,,,,1,none,1,ts_drift_adapt_severity,0.1894896268533862,0.005489959558964943,0.18865060051963353,0.005504463014021297,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,0,,10,0.20213824815032072,0.007027469245945873,0.13921616200828157,0.04268846055113124,,,,,,,,v2_gate_m1,,,,,1,confirmed_streak,1,ts_drift_adapt_severity,0.19191977978809382,0.007874598770259575,0.1910780071663936,0.007803775963061316,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,200,,10,0.2019414536302912,0.011052464756711915,0.15032867494824018,0.027495840316589696,,,,,,,,v2_gate_m1_cd,,,,,1,confirmed_streak,1,ts_drift_adapt_severity,0.19164674541740828,0.008640098075417777,0.19079377833447944,0.008640908521696656,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,0,,10,0.20347985694552198,0.0048792467779688094,0.14365675142339546,0.0358648982434896,,,,,,,,v2_gate_m3,,,,,1,confirmed_streak,3,ts_drift_adapt_severity,0.19284119161225932,0.006542828820201749,0.19205486034136438,0.006448118758981436,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,200,,10,0.19848241148977236,0.010599427718598786,0.1569919448757764,0.02152113869823469,,,,,,,,v2_gate_m3_cd,,,,,1,confirmed_streak,3,ts_drift_adapt_severity,0.18910129635017525,0.008019133186118695,0.1882936463597178,0.007981951179650143,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,0,,10,0.20421783639563268,0.005892821203238028,0.158181369694617,0.01531819868766995,,,,,,,,v2_gate_m5,,,,,1,confirmed_streak,5,ts_drift_adapt_severity,0.19341223195743382,0.005662505953556014,0.1926007561683871,0.005635490576136072,178.4,0.0
NEXT_STAGE_V6,P,INSECTS_abrupt_balanced,,0.5,1,200,,10,0.20107101633016064,0.00567738870990281,0.13142266757246376,0.039780199109016576,,,,,,,,v2_gate_m5_cd,,,,,1,confirmed_streak,5,ts_drift_adapt_severity,0.1894491321627744,0.004250161199009025,0.18858463710233997,0.004304849389545153,178.4,0.0
