check,row_idx,track,phase,dataset,seed,group,run_id,log_path,log_path_contains_dataset_segment,summary_path,summary_path_rule,summary_exists,summary_dataset_name,is_nodrift,nodrift_has_forbidden_abrupt4_segment,violations,violation_details
PASS,11,AL,quick,sea_abrupt4,1,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,12,AL,quick,sea_abrupt4,2,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,13,AL,quick,sea_abrupt4,3,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,14,AL,quick,sea_abrupt4,4,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,15,AL,quick,sea_abrupt4,5,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed5.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed5.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,16,AL,quick,sine_abrupt4,1,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,17,AL,quick,sine_abrupt4,2,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,18,AL,quick,sine_abrupt4,3,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,19,AL,quick,sine_abrupt4,4,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,20,AL,quick,sine_abrupt4,5,A_weighted_n5,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed5.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed5.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,21,AL,quick,sea_nodrift,1,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,22,AL,quick,sea_nodrift,2,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,23,AL,quick,sea_nodrift,3,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,24,AL,quick,sea_nodrift,4,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,25,AL,quick,sea_nodrift,5,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed5.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed5.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,26,AL,quick,sine_nodrift,1,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sine_nodrift,1,0,,
PASS,27,AL,quick,sine_nodrift,2,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sine_nodrift,1,0,,
PASS,28,AL,quick,sine_nodrift,3,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sine_nodrift,1,0,,
PASS,29,AL,quick,sine_nodrift,4,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sine_nodrift,1,0,,
PASS,30,AL,quick,sine_nodrift,5,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed5.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed5.summary.json,replace_.csv,1,sine_nodrift,1,0,,
PASS,31,AL,quick,sea_abrupt4,1,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,32,AL,quick,sea_abrupt4,2,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,33,AL,quick,sea_abrupt4,3,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,34,AL,quick,sea_abrupt4,4,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,35,AL,quick,sea_abrupt4,5,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed5.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed5.summary.json,replace_.csv,1,sea_abrupt4,0,0,,
PASS,36,AL,quick,sine_abrupt4,1,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,37,AL,quick,sine_abrupt4,2,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,38,AL,quick,sine_abrupt4,3,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,39,AL,quick,sine_abrupt4,4,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,40,AL,quick,sine_abrupt4,5,P_perm_fused_score_a0.05_pre200_post30_n5,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed5.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed5.summary.json,replace_.csv,1,sine_abrupt4,0,0,,
PASS,41,AL,quick,sea_nodrift,1,P_perm_fused_score_a0.05_pre200_post50_n5,20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed1.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed1.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,42,AL,quick,sea_nodrift,2,P_perm_fused_score_a0.05_pre200_post50_n5,20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed2.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed2.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,43,AL,quick,sea_nodrift,3,P_perm_fused_score_a0.05_pre200_post50_n5,20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed3.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed3.summary.json,replace_.csv,1,sea_nodrift,1,0,,
PASS,44,AL,quick,sea_nodrift,4,P_perm_fused_score_a0.05_pre200_post50_n5,20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed4.csv,1,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed4.summary.json,replace_.csv,1,sea_nodrift,1,0,,
