track,profile,base_dataset_name,unit,seed,run_id,log_path,monitor_preset,error.threshold,error.min_instances,confirm_theta,confirm_window,confirm_cooldown,transition_length,tol,n_drifts,miss_tol500_start,miss_tol500_mid,miss_tol500_end,delay_start_P90,delay_start_P99,delay_mid_P90,delay_mid_P99,delay_end_P90,delay_end_P99
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,1,20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed1/20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed1.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,0.5,3,200,2000,500,5,0.6,0.4,0.4,3967.0000000000005,5133.399999999999,3087.000000000001,4145.399999999999,2207.0000000000005,3157.399999999999
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,2,20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed2/20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed2.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,0.5,3,200,2000,500,5,0.6,0.6,0.4,1874.2,2274.52,874.2,1274.52,-125.79999999999993,274.52
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,3,20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed3/20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed3.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,0.5,3,200,2000,500,5,0.4,0.4,0.4,56.6,62.36,-943.4,-937.64,-1943.4,-1937.64
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,4,20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed4/20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed4.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,0.5,3,200,2000,500,5,0.6,0.6,0.6,59.800000000000004,62.68,-940.2,-937.32,-1940.1999999999998,-1937.32
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,5,20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed5/20260110-005200-v6d_thr0.05_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed5.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,0.5,3,200,2000,500,5,0.6,0.4,0.4,1151.0,1395.8,151.00000000000009,395.8,-849.0,-604.2
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,1,20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed1/20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed1.csv,"error_divergence_ph_meta@error.threshold=0.03,error.min_instances=5",0.03,5,0.5,3,200,2000,500,5,0.4,0.4,0.4,2200.6000000000004,2969.5599999999995,1200.6000000000006,1969.5599999999993,200.6000000000006,969.5599999999993
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,2,20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed2/20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed2.csv,"error_divergence_ph_meta@error.threshold=0.03,error.min_instances=5",0.03,5,0.5,3,200,2000,500,5,0.6,0.4,0.4,645.4000000000001,769.24,-354.6,-230.76000000000002,-1354.6,-1230.7600000000002
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,3,20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed3/20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed3.csv,"error_divergence_ph_meta@error.threshold=0.03,error.min_instances=5",0.03,5,0.5,3,200,2000,500,5,0.4,0.2,0.2,1010.2000000000002,1295.3199999999997,10.200000000000188,295.31999999999977,-989.7999999999998,-704.6800000000003
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,4,20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed4/20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed4.csv,"error_divergence_ph_meta@error.threshold=0.03,error.min_instances=5",0.03,5,0.5,3,200,2000,500,5,0.4,0.4,0.4,56.6,62.36,-943.4,-937.64,-1943.4,-1937.64
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,5,20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed5/20260110-005245-yy8_thr0.03_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed5.csv,"error_divergence_ph_meta@error.threshold=0.03,error.min_instances=5",0.03,5,0.5,3,200,2000,500,5,0.4,0.4,0.4,357.40000000000003,423.64,-322.59999999999997,-184.36,-1002.5999999999999,-792.36
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,1,20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed1/20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed1.csv,"error_divergence_ph_meta@error.threshold=0.02,error.min_instances=5",0.02,5,0.5,3,200,2000,500,5,0.6,0.6,0.4,1458.2,1772.12,458.20000000000005,772.12,-541.8,-227.88000000000002
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,2,20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed2/20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed2.csv,"error_divergence_ph_meta@error.threshold=0.02,error.min_instances=5",0.02,5,0.5,3,200,2000,500,5,0.4,0.4,0.4,88.6,94.36,-911.4,-905.64,-1911.3999999999999,-1905.6399999999999
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,3,20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed3/20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed3.csv,"error_divergence_ph_meta@error.threshold=0.02,error.min_instances=5",0.02,5,0.5,3,200,2000,500,5,0.6,0.4,0.4,3141.4000000000005,3841.2399999999993,2141.4000000000005,2841.2399999999993,1141.4000000000005,1841.2399999999993
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,4,20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed4/20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed4.csv,"error_divergence_ph_meta@error.threshold=0.02,error.min_instances=5",0.02,5,0.5,3,200,2000,500,5,0.6,0.6,0.6,59.800000000000004,62.68,-940.2,-937.32,-1940.1999999999998,-1937.32
AH,stagger_gradual_frequent,stagger_abrupt3,sample_idx,5,20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200,logs/trackAH_stagger_gradual_sensitivity/stagger_abrupt3/ts_drift_adapt/seed5/20260110-005330-0l5_thr0.02_mi5_theta0.50_w3_cd200/stagger_abrupt3__ts_drift_adapt__seed5.csv,"error_divergence_ph_meta@error.threshold=0.02,error.min_instances=5",0.02,5,0.5,3,200,2000,500,5,0.4,0.4,0.4,331.80000000000007,392.28,-668.1999999999999,-607.72,-1668.2,-1607.72
