track,unit,dataset,seed,experiment_name,run_id,group,model_variant,monitor_preset,monitor_preset_base,picked_from_trackm,picked_reason,trigger_mode,confirm_theta,confirm_window,weights,use_severity_v2,severity_gate,severity_gate_min_streak,ph_error_threshold,ph_error_min_instances,ph_divergence_threshold,ph_divergence_min_instances,log_path,acc_final,mean_acc,acc_min,recovery_W,post_mean_acc,post_min_acc,recovery_time_to_pre90,note
N,sample_idx,INSECTS_abrupt_balanced,1,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,0.19601869547940282,0.18574595105224975,0.14351222826086957,1000,0.1804164803439472,0.17950489453989635,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,2,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,0.20339848998050977,0.2017612917147495,0.1659873188405797,1000,0.19523146565247898,0.19444042137383205,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,3,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,0.21566030238234904,0.21002808169735215,0.18643973214285714,1000,0.20440166002536284,0.20402956041186035,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,4,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,0.18839290782825893,0.1943008855846797,0.16556919642857143,1000,0.188994575985834,0.18838409883094268,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,5,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,0.20120347418018053,0.1943495182655601,0.157325634057971,1000,0.18729461401176342,0.186437329452395,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,6,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,0.2074479156811172,0.20707132794758684,0.166893115942029,1000,0.1981241410048119,0.19729461111698235,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,7,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,0.20309572918046437,0.19846260915769118,0.109375,1000,0.19314770157627154,0.19220227975632512,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,8,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,0.19940583192991088,0.1933354806851606,0.16164679276315788,1000,0.18475316226790547,0.18410914430692377,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,9,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed9/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed9.csv,0.19656744942948512,0.19280591641580438,0.08203125,1000,0.19277749155762136,0.19192741090422305,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,10,trackN_gating_rule,20260108-013900-rh3_v2_gate_m1_theta0.30_w1,v2_gate_m1,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed10/20260108-013900-rh3_v2_gate_m1_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed10.csv,0.1970026680795504,0.19792655761215303,0.1640625,1000,0.19445520032277536,0.1935947731304423,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,1,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,0.22105322913315797,0.2135979441974067,0.16015625,1000,0.20848019785732136,0.20761493288105753,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,2,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,0.19130698052869605,0.18561734898404786,0.15585371376811594,1000,0.18075232234589683,0.1799445269299391,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,3,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,0.19904630347985694,0.18546734135589435,0.08203125,1000,0.18285304689652404,0.18220359162604755,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,4,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,0.19721081612958163,0.19766724754711493,0.17198822463768115,1000,0.1904493453634302,0.18967900955773484,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,5,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,0.19441027872916153,0.19353107616442355,0.16203703703703703,1000,0.18314913917244224,0.18248923618270402,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,6,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,0.2053285900807993,0.2005015435170422,0.16015625,1000,0.19422042106119033,0.19352602467019958,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,7,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,0.20264158798039625,0.195634472688788,0.14453125,1000,0.1898202184739556,0.18891608626921605,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,8,trackN_gating_rule,20260108-013923-zxa_v2_gate_m3_theta0.30_w1,v2_gate_m3,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,3,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260108-013923-zxa_v2_gate_m3_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,0.20843188828126477,0.2030625583310974,0.10546875,1000,0.20234256232591963,0.20143913140389072,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
